Title;Author
Fundamentals of Wavelets;Jaideva Goswami
Data Smart;John Foreman
God Created the Integers;Stephen Hawking
Superfreakonomics;Stephen Dubner
Orientalism;Edward Said
Nature of Statistical Learning Theory                                   ,The;Vladimir Vapnik
Integration of the Indian States;V P Menon
Drunkard's Walk                                                         ,The;Leonard Mlodinow
Image Processing & Mathematical Morphology;Frank Shih
How to Think Like Sherlock Holmes;Maria Konnikova
Data Scientists at Work;Sebastian Gutierrez
Slaughterhouse Five;Kurt Vonnegut
Birth of a Theorem;Cedric Villani
Structure & Interpretation of Computer Programs;Gerald Sussman
Age of Wrath                                                            ,The;Abraham Eraly
Trial                                                                   ,The;Frank Kafka
Statistical Decision Theory';John Pratt
Data Mining Handbook;Robert Nisbet
New Machiavelli                                                         ,The;H. G. Wells
Physics & Philosophy;Werner Heisenberg
Making Software;Andy Oram
Analysis                                                                ,Vol I;Terence Tao
Machine Learning for Hackers;Drew Conway
Signal and the Noise                                                    ,The;Nate Silver
Python for Data Analysis;Wes McKinney
Introduction to Algorithms;Thomas Cormen
Beautiful and the Damned                                                ,The;Siddhartha Deb
Outsider                                                                ,The;Albert Camus
Complete Sherlock Holmes                                                ,The - Vol I;Arthur Conan Doyle
Complete Sherlock Holmes                                                ,The - Vol II;Arthur Conan Doyle
Wealth of Nations                                                       ,The;Adam Smith
Pillars of the Earth                                                    ,The;Ken Follett
Mein Kampf;Adolf Hitler
Tao of Physics                                                          ,The;Fritjof Capra
Surely You're Joking Mr Feynman;Richard Feynman
Farewell to Arms                                                        ,A;Ernest Hemingway
Veteran                                                                 ,The;Frederick Forsyth
False Impressions;Jeffery Archer
Last Lecture                                                            ,The;Randy Pausch
Return of the Primitive;Ayn Rand
Jurassic Park;Michael Crichton
Russian Journal                                                         ,A;John Steinbeck
Tales of Mystery and Imagination;Edgar Allen Poe
Freakonomics;Stephen Dubner
Hidden Connections                                                      ,The;Fritjof Capra
Story of Philosophy                                                     ,The;Will Durant
Asami Asami;P L Deshpande
Journal of a Novel;John Steinbeck
Once There Was a War;John Steinbeck
Moon is Down                                                            ,The;John Steinbeck
Brethren                                                                ,The;John Grisham
In a Free State;V. S. Naipaul
Catch 22;Joseph Heller
Complete Mastermind                                                     ,The;BBC
Dylan on Dylan;Bob Dylan
Soft Computing & Intelligent Systems;Madan Gupta
Textbook of Economic Theory;Alfred Stonier
Econometric Analysis;W. H. Greene
Learning OpenCV;Gary Bradsky
Data Structures Using C & C++;Andrew Tanenbaum
Computer Vision                                                         ,A Modern Approach;David Forsyth
Principles of Communication Systems;Schilling Taub
Let Us C;Yashwant Kanetkar
Amulet of Samarkand                                                     ,The;Jonathan Stroud
Crime and Punishment;Fyodor Dostoevsky
Angels & Demons;Dan Brown
Argumentative Indian                                                    ,The;Amartya Sen
Sea of Poppies;Amitav Ghosh
Idea of Justice                                                         ,The;Amartya Sen
Raisin in the Sun                                                       ,A;Lorraine Hansberry
All the President's Men;Bob Woodward
Prisoner of Birth                                                       ,A;Jeffery Archer
Scoop!;Kuldip Nayar
Ahe Manohar Tari;Sunita Deshpande
Last Mughal                                                             ,The;William Dalrymple
Social Choice & Welfare                                                 ,Vol 39 No. 1;Various
Radiowaril Bhashane & Shrutika;P L Deshpande
Gun Gayin Awadi;P L Deshpande
Aghal Paghal;P L Deshpande
Maqta-e-Ghalib;Sanjay Garg
Manasa;V P Kale
India from Midnight to Milennium;Shashi Tharoor
Great Indian Novel                                                      ,The;Shashi Tharoor
O Jerusalem!;Dominique Lapierre
City of Joy                                                             ,The;Dominique Lapierre
Freedom at Midnight;Dominique Lapierre
Winter of Our Discontent                                                ,The;John Steinbeck
On Education;Bertrand Russell
Free Will;Sam Harris
Bookless in Baghdad;Shashi Tharoor
Case of the Lame Canary                                                 ,The;Earle Stanley Gardner
Theory of Everything                                                    ,The;Stephen Hawking
New Markets & Other Essays;Peter Drucker
Electric Universe;David Bodanis
Hunchback of Notre Dame                                                 ,The;Victor Hugo
Burning Bright;John Steinbeck
Age of Discontuinity                                                    ,The;Peter Drucker
Doctor in the Nude;Richard Gordon
Down and Out in Paris & London;George Orwell
Identity & Violence;Amartya Sen
Beyond the Three Seas;William Dalrymple
Talking Straight;Lee Iacoca
Maugham's Collected Short Stories                                       ,Vol 3;William S Maugham
Phantom of Manhattan                                                    ,The;Frederick Forsyth
Ashenden of The British Agent;William S Maugham
Zen & The Art of Motorcycle Maintenance;Robert Pirsig
Great War for Civilization                                              ,The;Robert Fisk
We the Living;Ayn Rand
Artist and the Mathematician                                            ,The;Amir Aczel
History of Western Philosophy;Bertrand Russell
Rationality & Freedom;Amartya Sen
Clash of Civilizations and Remaking of the World Order;Samuel Huntington
Uncommon Wisdom;Fritjof Capra
One;Richard Bach
To Sir With Love;Braithwaite
Half A Life;V S Naipaul
Discovery of India                                                      ,The;Jawaharlal Nehru
Apulki;P L Deshpande
Unpopular Essays;Bertrand Russell
Deceiver                                                                ,The;Frederick Forsyth
Veil: Secret Wars of the CIA;Bob Woodward
Char Shabda;P L Deshpande
Rosy is My Relative;Gerald Durrell
Moon and Sixpence                                                       ,The;William S Maugham
Short History of the World                                              ,A;H G Wells
Trembling of a Leaf                                                     ,The;William S Maugham
Doctor on the Brain;Richard Gordon
Simpsons & Their Mathematical Secrets;Simon Singh
Pattern Classification;Hart Duda
From Beirut to Jerusalem;Thomas Friedman
Code Book                                                               ,The;Simon Singh
Age of the Warrior                                                      ,The;Robert Fisk
Numbers Behind Numb3rs                                                  ,The;Keith Devlin
Life in Letters                                                         ,A;John Steinbeck
Information                                                             ,The;James Gleick
Elements of Information Theory;Joy Thomas
Power Electronics - Rashid;Muhammad Rashid
Power Electronics - Mohan;Ned Mohan
Neural Networks;Simon Haykin
Grapes of Wrath                                                         ,The;John Steinbeck
Vyakti ani Valli;P L Deshpande
Statistical Learning Theory;Vladimir Vapnik
Empire of the Mughal - The Tainted Throne;Alex Rutherford
Empire of the Mughal - Brothers at War;Alex Rutherford
Empire of the Mughal - Ruler of the World;Alex Rutherford
Empire of the Mughal - The Serpent's Tooth;Alex Rutherford
Empire of the Mughal - Raiders from the North;Alex Rutherford
Mossad;Michael Baz-Zohar
Jim Corbett Omnibus;Jim Corbett
20000 Leagues Under the Sea;Jules Verne
Batatyachi Chal;Deshpande P L
Hafasavnuk;Deshpande P L
Urlasurla;Deshpande P L
Pointers in C;Yashwant Kanetkar
Cathedral and the Bazaar                                                ,The;Eric Raymond
Design with OpAmps;Sergio Franco
Think Complexity;Allen Downey
Devil's Advocate                                                        ,The;Morris West
Ayn Rand Answers;Ayn Rand
Philosophy: Who Needs It;Ayn Rand
Data Analysis with Open Source Tools;Phillip Janert
Broca's Brain;Carl Sagan
Men of Mathematics;E T Bell
Oxford book of Modern Science Writing;Richard Dawkins
Justice                                                                 ,Judiciary and Democracy;Sudhanshu Ranjan
Arthashastra                                                            ,The;Kautiyla
We the People;Palkhivala
We the Nation;Palkhivala
Courtroom Genius                                                        ,The;Sorabjee
Dongri to Dubai;Hussain Zaidi
History of England                                                      ,Foundation;Peter Ackroyd
City of Djinns;William Dalrymple
India's Legal System;Nariman
More Tears to Cry;Jean Sassoon
Ropemaker                                                               ,The;Peter Dickinson
Angels & Demons;Dan Brown
Prince                                                                  ,The;Machiavelli
Eyeless in Gaza;Aldous Huxley
Tales of Beedle the Bard;J K Rowling
Girl with the Dragon Tattoo;Steig Larsson
Girl who kicked the Hornet's Nest;Steig Larsson
Girl who played with Fire;Steig Larsson
Structure and Randomness;Terence Tao
Image Processing with MATLAB;Steve Eddins
Animal Farm;George Orwell
Idiot                                                                   ,The;Fyodor Dostoevsky
Christmas Carol                                                         ,A;Charles Dickens
